SAMPLE	SPECIES_NAME_PRINT	FAMILY	TRIBE	SUPERTRIBE	GENUS	Type_status	loci_remaining
ERR5529510	Physaria arctica	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		111
S4138	Physaria arenosa	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		116
S3979	Physaria argentea	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1181
S2088	Physaria argyraea	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1160
S2535	Physaria arizonica	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1071
S3073	Physaria aurea	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1132
S2741	Physaria bellii	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1134
S4072	Physaria berlandieri	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1144
S3111	Physaria brassicoides	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		944
S2446	Physaria calcicola	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1161
S3330	Physaria calderi	Brassicaceae	Physarieae	Camelinodae (I)	Physaria	Isotype	1169
S3067	Physaria carinata	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1159
23R61	Physaria chambersii	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1073
S3064	Physaria cinerea	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1149
S2432	Physaria condensata	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1078
S3134	Physaria congesta	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1177
S3137	Physaria cordiformis	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1203
S3124	Physaria crassistigma	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1158
S3086	Physaria curvipes	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1202
S3089	Physaria densiflora	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1156
S0383	Physaria didymocarpa	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1086
ERR2990306	Physaria didymocarpa	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		149
